Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4.7n,C53987
"C10, C21, C34, C43, C5, C53, C6, C61, C62, C63, C66, C67, C69, C72, C74",0603,15,100n,C14663
"C11, C15, C16, C19, C25, C27, C29, C33, C4, C42, C45, C52, C64, C65, C7",0603,15,2.2u,C23630
"C12, C18, C2, C22, C3",0603,5,100p,C14858
"C13, C23, C8",1206,3,100u@6.3V,C15008
"C14, C20, C28, C75",0603,4,10u,C96446
"C17, C24, C32, C9",CP_EIA-3216-10_Kemet-I,4,10u,C7171
"C26, C36, C37, C38, C39, C46, C47, C48, C49, C55, C56, C57, C58",1210,13,4.7u 100V,C381466
"C30, C70",0603,2,10n,C57112
C31,0805,1,22u,C45783
"C35, C44, C54",0603,3,1n,C1588
"C40, C41, C50, C51, C59, C60",0603,6,4.7n,C382251
C68,0603,1,1u,C15849
"C71, C73",0603,2,12p,C38523
"CYA0650-68UH1, CYA0650-68UH2",L_6.6x7.2_H5.0_CYA0650_68UH,2,68uH,C5189964
"D1, D2, D4, D7",D_SMA,4,US1M,C412437
D10,0805,1,GREEN,C2297
D11,0603,1,WHT,C2290
D3,D_SOD-323,1,1N5819,C191023
D5,D_SOD-323,1,1N4148WS,C2128
D6,D_SOD-123,1,MM1W18 1W18V zener,C382948
D8,D_SMA,1,SS210,C14996
D9,0805,1,RED,C84256
"H1, H10, H11, H12, H2, H3, H4, H5, H6, H7, H8, H9",MountingHole_3.2mm_M3,12,MountingHole,
H13,MountingHole_3.5mm_Pad_TopOnly_custom,1,Phase_A_Pad,
H14,MountingHole_3.5mm_Pad_TopOnly_custom,1,Phase_B_Pad,
H15,MountingHole_3.5mm_Pad_TopOnly_custom,1,Phase_C_Pad,
J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Male,
J2,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Conn_01x06,
J3,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,communication,
J4,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,on/off,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,servo,
J6,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
L1,0805,1,10n, C1046
"NT1, NT2, NT3, NT4, NT5, NT6",NetTie-2_SMD_Pad0.5mm,6,NetTie_2,
"P1, P10, P12, P13, P2, P3, P4, P5, P6, P7, P8, P9",PinHeader_1x01_P2.54mm_Vertical,12,SWD,
P11,PinHeader_1x05_P2.54mm_Vertical,1,SWD,
Q1,SOT-23,1,AO3401A,C15127
"Q10, Q11, Q12, Q13, Q14, Q15, Q4, Q5, Q6, Q7, Q8, Q9",TO-220-3_Vertical_bend,12,CRST030N10N,C841369
"Q16, Q2, Q3",SOT-23,3,SS8050,C2150
"R1, R11, R15, R17, R19, R2, R28, R3",0603,8,2k,C22975
"R10, R50, R7, R88, R89",0603,5,10k,C25804
R12,0603,1,470k,C23178
"R13, R26, R6, R86, R87",0603,5,5.1k,C23186
"R14, R16, R18, R22, R23, R27, R38, R41, R58, R61, R76, R79",0603,12,56k @ 75V,C23206
R20,0805,1,82k @ 150V,C17840
"R21, R24",0603,2,1k8,C4177
R25,1206,1,0.1R,C25334
"R29, R47, R67",0603,3,150R,C22808
"R30, R49, R68",0603,3,30k,C22984
"R31, R32, R43, R44, R45, R46, R51, R52, R63, R64, R65, R66, R69, R70, R81, R82, R83, R84",0603,18,10R,C22859
"R33, R92, R93",0603,3,56k,C23206
"R34, R35, R54, R55, R72, R73, R96, R97",0603,8,1k,C21190
"R36, R37, R39, R40, R56, R57, R59, R60, R74, R75, R77, R78",0603,12,4.7R,C23164
"R4, R5, R85",0603,3,100R,C22775
"R42, R62, R80",2512,3,0.25mR,C495759
R48,0603,1,NTC 10k,C13564
"R53, R71, R91",0603,3,6.2k,C4260
"R8, R9",0603,2,75k,C23242
R90,0603,1,20k,C4184
"SW1, SW4",SolderJumper-3_P1.3mm_Bridged2Bar12_Pad1.0x1.5mm,2,SW_SPDT,
"SW2, SW3",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,SW_SPST,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T/3/1J,C38695
"U10, U11",TSOT-23-5,2,MS8311,
"U12, U13",Blackpill_STM32F401CEU6,2,STM32F401CCU6_Blackpill,
U14,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,C15742
U2,Bosch_LGA-14_3x2.5mm_P0.5mm,1,BMI270,C2836813
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
"U4, U6, U7",SOIC-8_3.9x4.9mm_P1.27mm,3,IRS21867S,C52290
U5,SOP-8_3.9x4.9mm_P1.27mm,1,XL1509-5.0E1,C61063
U8,TX4130L_ESOP-8,1,TX4130L/PW2902,C448635
U9,TSOT-23-5,1,MS8311,C1509000
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,"8MHz Crystal Resonator, X50328MSB2GI",C115962
