"Comment","Designator","Footprint","LCSC Part #"
"4.7n","C1","","C53987"
"100p","C2 C3 C12 C18 C22","","C14858"
"2.2u","C4 C7 C11 C15 C16 C19 C25 C27 C29 C33 C42 C45 C52 C64 C65","","C23630"
"100n","C5 C6 C21 C10 C34 C43 C53 C61 C62 C63 C66 C67 C69 C72 C74","","C14663"
"Conn_01x02_Male","J1","",""
"Conn_01x06","J2","",""
"communication","J3","",""
"2k","R1 R2 R3 R15 R17 R19 R28 R11","","C22975"
"100R","R4 R5 R85","","C22775"
"10k","R7 R10 R50 R88 R89","","C25804"
"1k","R96 R97 R34 R35 R54 R55 R72 R73","","C21190"
"SW_SPDT","SW1 SW4","",""
"TJA1051T/3/1J","U1","","C38695"
"BMI270","U2","","C2836813"
"100u@6.3V","C8 C13 C23","","C15008"
"10u","C9 C17 C24 C32","","C7171"
"10u","C14 C20 C28 C75","","C96446"
"4.7u 100V","C26 C36 C37 C38 C39 C46 C47 C48 C49 C55 C56 C57 C58","","C381466"
"10n","C30 C70","","C57112"
"22u","C31","","C45783"
"68uH","CYA0650-68UH1 CYA0650-68UH2","","C5189964"
"US1M","D1 D2 D4 D7","","C412437"
"1N5819","D3","","C191023"
"1N4148WS","D5","","C2128"
"MM1W18 1W18V zener","D6","","C382948"
"SS210","D8","","C14996"
"SWD","P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P12 P13","",""
"AO3401A","Q1","","C15127"
"SS8050","Q2 Q3 Q16","","C2150"
"5.1k","R6 R13 R26 R86 R87","","C23186"
"75k","R8 R9","","C23242"
"470k","R12","","C23178"
"56k @ 75V","R14 R16 R18 R22 R23 R27 R38 R41 R58 R61 R76 R79","","C23206"
"82k @ 150V","R20","","C17840"
"1k8","R21 R24","","C4177"
"0.1R","R25","","C25334"
"AMS1117-3.3","U3","","C6186"
"IRS21867S","U4 U6 U7","","C52290"
"XL1509-5.0E1","U5","","C61063"
"TX4130L/PW2902","U8","","C448635"
"1n","C35 C44 C54","","C1588"
"4.7n","C40 C41 C50 C51 C59 C60","","C382251"
"150R","R29 R47 R67","","C22808"
"30k","R30 R49 R68","","C22984"
"10R","R31 R32 R43 R44 R45 R46 R51 R52 R63 R64 R65 R66 R69 R70 R81 R82 R83 R84","","C22859"
"56k","R33 R92 R93","","C23206"
"4.7R","R36 R37 R39 R40 R56 R57 R59 R60 R74 R75 R77 R78","","C23164"
"0.25mR","R42 R62 R80","","C495759"
"NTC 10k","R48","","C13564"
"6.2k","R53 R71 R91","","C4260"
"MS8311","U9","","C1509000"
"MS8311","U10 U11","",""
"1u","C68","","C15849"
"12p","C71 C73","","C38523"
"RED","D9","","C84256"
"GREEN","D10","","C2297"
"WHT","D11","","C2290"
"servo","J5","",""
"TYPE-C-31-M-12","J6","","C165948"
"10n","L1",""," C1046"
"20k","R90","","C4184"
"SW_SPST","SW3","",""
"STM32F405RGT6","U14","","C15742"
"8MHz Crystal Resonator, X50328MSB2GI","Y1","","C115962"
